iter	TotalF1	MultiClass
0	0.7848758902	1.369640113
1	0.7795307909	1.355153009
2	0.7688551016	1.341562964
3	0.7547698099	1.328531034
4	0.7412895512	1.31621717
5	0.7520069942	1.304802758
6	0.7404044224	1.292598264
7	0.7533841194	1.279570928
8	0.729097977	1.268965688
9	0.7230096649	1.258045078
10	0.7320241163	1.246937554
11	0.7382772219	1.236929887
12	0.7443168769	1.225425898
13	0.7411900548	1.214754195
14	0.7369961597	1.205859442
15	0.740500422	1.196265403
16	0.7481439623	1.185210677
17	0.7496459105	1.174696656
18	0.7664857533	1.163798718
19	0.7661267308	1.156640618
20	0.7717721582	1.146471091
21	0.7827731659	1.135990004
22	0.7809886858	1.12853634
23	0.7818581702	1.121445086
24	0.7836701321	1.112381178
25	0.7707851019	1.1038772
26	0.781799915	1.095265508
27	0.7826820506	1.087436828
28	0.7674296953	1.079085846
29	0.7699836347	1.071070167
30	0.7663024194	1.064811331
31	0.766041107	1.056595921
32	0.7666327857	1.049952719
33	0.7668232483	1.043230526
34	0.7682175502	1.035349788
35	0.7715839978	1.029593959
36	0.7711895712	1.022208293
37	0.7710685348	1.016118757
38	0.7715121423	1.009361936
39	0.7712169479	1.003095479
40	0.7712108168	0.9960882442
41	0.7714201525	0.9898213833
42	0.7715689016	0.9839064275
43	0.7715431542	0.9782436259
44	0.7858138675	0.9724399421
45	0.7853282131	0.9661410297
46	0.7855427148	0.9602488395
47	0.7856079156	0.9544257235
48	0.785652222	0.9486601789
49	0.7855793535	0.94367864
50	0.7856101581	0.9384909683
51	0.7857277174	0.9338831167
52	0.7856776543	0.9290187096
53	0.7858619214	0.923134798
54	0.7852394345	0.9184236916
55	0.7851090901	0.9130040306
56	0.785380286	0.9080689918
57	0.7860045744	0.9033117986
58	0.7855176433	0.8993400592
59	0.7870273554	0.8943623009
60	0.7873381179	0.8900250107
61	0.7876459744	0.8847340458
62	0.7876286145	0.8796762107
63	0.7877387655	0.8752481393
64	0.7874283738	0.870719144
65	0.7875613654	0.8665859569
66	0.7886312224	0.8620803094
67	0.7887556751	0.8575988948
68	0.7887943655	0.8533640536
69	0.7880395282	0.8489836485
70	0.7886936479	0.845549528
71	0.7892528498	0.8412018997
72	0.7894887667	0.8367211235
73	0.8027946905	0.8321857441
74	0.7901121675	0.828597321
75	0.7900315065	0.824427946
76	0.7900072574	0.8208558903
77	0.789915448	0.8169967045
78	0.7905270799	0.8133882589
79	0.7902502089	0.8092963186
80	0.8035993375	0.8053515291
81	0.8035522614	0.80107298
82	0.8035234784	0.7970624403
83	0.8076522566	0.7935670194
84	0.8065841546	0.7901213965
85	0.8078833387	0.7864597155
86	0.8079980355	0.7827759525
87	0.8075684357	0.778701166
88	0.8074112502	0.7747613722
89	0.8075670372	0.7710089709
90	0.8127597657	0.7675178714
91	0.8139364054	0.7645709521
92	0.8134239524	0.7616611494
93	0.8144752601	0.7587400606
94	0.8138084399	0.7557513189
95	0.8145252386	0.7525741804
96	0.8139758709	0.7487400685
97	0.8146158338	0.7459215122
98	0.8144846345	0.7428126807
99	0.8149077218	0.7401088218
100	0.814869976	0.7377898138
101	0.8154630822	0.7350429414
102	0.8158556505	0.7316797896
103	0.8145676753	0.728219822
104	0.8145676753	0.7262586839
105	0.8145999213	0.7233976516
106	0.8150953755	0.7203836099
107	0.8153775079	0.7178004183
108	0.8156902443	0.7153134378
109	0.8151532655	0.7131861873
110	0.8157021051	0.7102590405
111	0.8157796781	0.7082671935
112	0.8153868295	0.7060374959
113	0.8153075124	0.7031989485
114	0.8156547655	0.7009253747
115	0.8172381917	0.6986500844
