iter	Passed	Remaining
0	7	15978
1	16	16250
2	25	16868
3	33	16825
4	42	17067
5	51	17148
6	61	17367
7	70	17550
8	79	17490
9	87	17480
10	96	17516
11	105	17549
12	115	17582
13	124	17677
14	133	17617
15	142	17672
16	153	17884
17	162	17913
18	172	17958
19	180	17917
20	190	17987
21	199	17956
22	208	17941
23	217	17901
24	226	17872
25	235	17865
26	244	17860
27	253	17846
28	262	17813
29	271	17825
30	278	17669
31	287	17690
32	296	17682
33	305	17687
34	315	17694
35	323	17660
36	332	17662
37	341	17634
38	351	17658
39	359	17636
40	369	17641
41	378	17627
42	388	17680
43	397	17654
44	405	17632
45	415	17636
46	424	17621
47	433	17621
48	441	17595
49	450	17587
50	460	17588
51	469	17584
52	478	17582
53	488	17591
54	498	17614
55	507	17610
56	516	17607
57	525	17608
58	535	17603
59	544	17605
60	553	17580
61	562	17589
62	571	17579
63	580	17575
64	590	17564
65	598	17540
66	607	17533
67	616	17527
68	626	17545
69	635	17527
70	644	17513
71	653	17500
72	662	17491
73	671	17482
74	680	17454
75	689	17457
76	698	17455
77	708	17462
78	717	17446
79	726	17445
80	735	17433
81	745	17426
82	754	17425
83	763	17418
84	773	17421
85	781	17396
86	791	17412
87	801	17405
88	810	17401
89	819	17387
90	828	17377
91	837	17365
92	845	17345
93	855	17349
94	864	17338
95	874	17336
96	883	17331
97	892	17321
98	901	17310
99	910	17290
100	919	17279
101	927	17263
102	937	17275
103	946	17258
104	955	17252
105	964	17236
106	973	17228
107	983	17224
108	991	17207
109	1001	17205
110	1010	17194
111	1019	17188
112	1028	17180
113	1037	17167
114	1046	17153
115	1055	17141
116	1064	17130
117	1073	17124
118	1083	17130
119	1092	17117
120	1101	17108
121	1110	17091
122	1115	17030
123	1124	17016
124	1133	17004
125	1142	16991
126	1148	16939
127	1156	16920
128	1166	16911
129	1174	16893
130	1183	16885
131	1193	16883
132	1202	16874
133	1211	16870
134	1220	16862
135	1229	16853
136	1238	16839
137	1247	16835
138	1256	16822
139	1265	16806
140	1273	16794
141	1282	16784
142	1291	16775
143	1301	16769
144	1310	16763
145	1319	16753
146	1328	16744
147	1337	16733
148	1345	16719
149	1354	16710
150	1363	16697
151	1372	16686
152	1381	16673
153	1390	16670
154	1399	16660
155	1408	16650
156	1417	16637
157	1426	16627
158	1435	16617
159	1443	16603
160	1452	16592
161	1461	16579
162	1469	16565
163	1478	16555
164	1487	16544
165	1496	16528
166	1505	16521
167	1513	16509
168	1523	16505
169	1532	16492
170	1541	16484
171	1546	16433
172	1555	16425
173	1563	16408
174	1572	16401
175	1581	16385
176	1589	16370
177	1598	16363
178	1607	16353
179	1616	16346
180	1625	16334
181	1634	16322
182	1642	16311
183	1652	16306
184	1660	16294
185	1670	16294
186	1677	16263
187	1685	16249
188	1694	16232
189	1703	16224
190	1712	16216
191	1721	16211
192	1730	16203
193	1739	16192
194	1748	16186
195	1757	16174
196	1766	16168
197	1775	16155
198	1784	16148
199	1793	16137
200	1801	16124
201	1810	16117
202	1819	16105
203	1827	16089
204	1835	16074
205	1844	16066
206	1853	16055
207	1864	16061
208	1869	16023
209	1879	16018
210	1887	16006
211	1897	16005
212	1905	15989
213	1915	15982
214	1923	15969
215	1932	15957
216	1941	15949
217	1949	15935
218	1958	15925
219	1966	15912
220	1976	15906
221	1985	15905
222	1995	15899
223	2004	15892
224	2013	15886
225	2022	15874
226	2031	15863
227	2035	15822
228	2044	15811
229	2053	15799
230	2061	15788
231	2070	15778
232	2078	15764
233	2087	15754
234	2096	15742
235	2104	15732
236	2112	15716
237	2121	15706
238	2130	15696
239	2139	15689
240	2147	15674
241	2157	15670
242	2166	15661
243	2174	15648
244	2183	15639
245	2192	15629
246	2200	15618
247	2209	15607
248	2218	15599
249	2226	15587
250	2236	15581
251	2244	15570
252	2253	15563
253	2261	15547
254	2270	15539
255	2278	15524
256	2287	15515
257	2295	15502
258	2304	15492
259	2313	15480
260	2321	15468
261	2329	15455
262	2338	15444
263	2347	15438
264	2356	15429
265	2365	15420
266	2374	15409
267	2383	15401
268	2391	15389
269	2400	15379
270	2409	15371
271	2418	15365
272	2427	15357
273	2436	15348
274	2445	15338
275	2454	15329
276	2462	15317
277	2470	15305
278	2479	15297
279	2488	15285
280	2497	15279
281	2506	15268
282	2515	15261
283	2524	15251
284	2533	15242
285	2541	15230
286	2549	15220
287	2558	15211
288	2567	15200
289	2571	15164
290	2579	15151
291	2587	15137
292	2596	15129
293	2605	15118
294	2614	15109
295	2622	15097
296	2630	15084
297	2638	15071
298	2647	15061
299	2656	15050
300	2663	15035
301	2672	15025
302	2680	15012
303	2689	15004
304	2698	14994
305	2707	14986
306	2715	14976
307	2725	14971
308	2734	14962
309	2743	14954
310	2751	14945
311	2757	14919
312	2765	14907
313	2774	14898
314	2782	14885
315	2792	14880
316	2797	14851
317	2806	14845
318	2812	14823
319	2821	14813
320	2830	14803
321	2839	14794
322	2847	14783
323	2856	14778
324	2865	14769
325	2874	14759
326	2883	14750
327	2891	14740
328	2900	14731
329	2909	14721
330	2918	14713
331	2926	14703
332	2935	14693
333	2943	14684
334	2952	14675
335	2960	14663
336	2969	14654
337	2978	14644
338	2986	14635
339	2995	14622
340	3004	14614
341	3010	14594
342	3018	14584
343	3026	14571
344	3035	14562
345	3044	14553
346	3053	14543
347	3061	14534
348	3070	14524
349	3078	14515
350	3087	14504
351	3095	14494
352	3104	14483
353	3112	14472
354	3120	14461
355	3129	14452
356	3137	14441
357	3146	14433
358	3155	14423
359	3162	14406
360	3171	14397
361	3180	14393
362	3189	14382
363	3198	14375
364	3206	14365
